# 新月配列 (Shingetsu) Colemak ANSI用 hazkey ローマ字テーブル
# ★=s (shift_state=1), ☆=e (shift_state=2)

# シフト
s	★
e	☆

# No Shift (ベース)
q	を
w	こ
f	が
p	て
g	せ
j	よ
l	ま
u	く
y	に
;	ー
a	か
r	し
t	う
d	た
h	と
n	ん
i	い
o	の
z	じ
x	け
c	は
v	な
b	さ
k	っ
m	る
,	、
.	。
/	え

# ☆シフト (e同時押し)
☆q	ぷ
☆w	ひ
☆f	ほ
☆p	ふ
☆g	ぐ
☆j	ぽ
☆l	ご
☆y	ぴ
☆;	ぢ
☆a	そ
☆r	り
☆s	ら
☆t	お
☆d	だ
☆h	れ
☆n	ょ
☆e	も
☆i	ぃ
☆o	ゆ
☆z	ざ
☆x	へ
☆c	ば
☆v	ず
☆b	ゃ
☆k	む
☆m	ろ
☆,	；
☆.	・
☆/	ぉ

# ★シフト (s同時押し)
★q	ぁ
★w	づ
★p	ぶ
★g	め
★j	ぬ
★l	ぎ
★u	み
★y	や
★;	ぺ
★a	ぱ
★r	げ
★s	す
★t	あ
★d	ち
★h	ゅ
★n	つ
★e	き
★i	で
★o	ど
★z	ぅ
★x	ゔ
★v	ぜ
★b	び
★k	ぞ
★m	ぼ
★,	ね
★.	べ
★/	ぇ
