# GA生成配列 QWERTY ANSI用 hazkey ローマ字テーブル
# ★=d (shift_state=1), ☆=k (shift_state=2)

# シフト
d	★
k	☆

# No Shift (ベース)
q	せ
w	こ
e	が
r	て
t	ょ
y	み
u	は
i	く
o	き
p	を
a	か
s	し
f	と
g	た
h	う
j	ん
l	い
;	の
z	あ
x	で
c	に
v	な
b	さ
n	っ
m	る
,	、
.	。
/	め

# ☆シフト (k同時押し)
☆q	ぷ
☆w	ず
☆e	ほ
☆r	ふ
☆t	ぐ
☆y	べ
☆u	ご
☆o	ぴ
☆p	ゔ
☆a	け
☆s	つ
☆d	ら
☆f	す
☆g	よ
☆h	え
☆j	ち
☆k	も
☆l	わ
☆;	ゆ
☆z	ぇ
☆x	ぜ
☆c	ざ
☆v	ゅ
☆b	ゃ
☆n	む
☆m	ろ
☆,	；
☆.	・
☆/	ぢ

# ★シフト (d同時押し)
★q	ぁ
★w	ぽ
★r	そ
★t	げ
★y	ぬ
★u	ぎ
★i	ぶ
★o	や
★p	ぺ
★a	ぱ
★s	ひ
★d	じ
★f	だ
★g	ど
★h	お
★j	ま
★k	れ
★l	り
★;	ー
★z	ぅ
★x	へ
★v	ば
★b	ぼ
★n	づ
★m	び
★,	ね
★.	ぃ
★/	ぞ
