# 新月配列 (Shingetsu) Colemak ANSI用 hazkey ローマ字テーブル
# ★=s (shift_state=1), ☆=e (shift_state=2)

# シフト
s	★
e	☆

# No Shift (ベース)
q	そ
w	こ
f	が
p	て
g	ね
j	わ
l	ゅ
u	ま
y	ー
;	を
a	し
r	か
t	う
d	た
h	と
n	ん
i	い
o	の
z	め
x	け
c	ら
v	な
b	ば
k	っ
m	る
,	、
.	。
/	よ

# ☆シフト (e前置)
☆q	ぎ
☆w	ひ
☆f	ほ
☆p	ぽ
☆g	ぴ
☆j	ぬ
☆l	ぞ
☆u	ぺ
☆y	ご
☆;	づ
☆a	さ
☆r	き
☆s	り
☆t	あ
☆d	だ
☆h	つ
☆n	で
☆e	く
☆i	え
☆o	ゆ
☆z	げ
☆x	へ
☆c	せ
☆v	ぶ
☆b	び
☆k	む
☆m	ろ
☆,	；
☆.	・
☆/	ぉ

# ★シフト (s前置)
★q	ぁ
★w	ぐ
★p	ふ
★g	ぷ
★j	ゔ
★l	ぢ
★u	み
★y	や
★;	ぇ
★a	ち
★r	じ
★s	は
★t	お
★d	す
★h	ど
★n	ょ
★e	も
★i	に
★o	れ
★z	ぅ
★x	ぱ
★v	ざ
★b	ぜ
★k	ず
★m	ゃ
★,	べ
★.	ぃ
★/	ぼ
