# 新月配列 (Shingetsu) QWERTY ANSI用 hazkey ローマ字テーブル
# ★=d (shift_state=1), ☆=k (shift_state=2)

# シフト
d	★
k	☆

# No Shift (ベース)
q	そ
w	こ
e	が
r	て
t	ね
y	わ
u	ゅ
i	ま
o	ー
p	を
a	し
s	か
f	う
g	た
h	と
j	ん
l	い
;	の
z	め
x	け
c	ら
v	な
b	ば
n	っ
m	る
,	、
.	。
/	よ

# ☆シフト (k前置)
☆q	ぎ
☆w	ひ
☆e	ほ
☆r	ぽ
☆t	ぴ
☆y	ぬ
☆u	ぞ
☆i	ぺ
☆o	ご
☆p	づ
☆a	さ
☆s	き
☆d	り
☆f	あ
☆g	だ
☆h	つ
☆j	で
☆k	く
☆l	え
☆;	ゆ
☆z	げ
☆x	へ
☆c	せ
☆v	ぶ
☆b	び
☆n	む
☆m	ろ
☆,	；
☆.	・
☆/	ぉ

# ★シフト (d前置)
★q	ぁ
★w	ぐ
★r	ふ
★t	ぷ
★y	ゔ
★u	ぢ
★i	み
★o	や
★p	ぇ
★a	ち
★s	じ
★d	は
★f	お
★g	す
★h	ど
★j	ょ
★k	も
★l	に
★;	れ
★z	ぅ
★x	ぱ
★v	ざ
★b	ぜ
★n	ず
★m	ゃ
★,	べ
★.	ぃ
★/	ぼ
