# 新月配列 v2.0 (Shingetsu) Colemak ANSI用 hazkey ローマ字テーブル
# ★=s (Layer 2), ☆=e (Layer 1), ◆=/ (Layer 3)

# シフト
s	★
e	☆
/	◆

# No Shift (ベース)
q	ゆ
w	わ
f	ふ
p	ぱ
g	ぐ
j	む
l	め
u	ぷ
y	や
;	ぉ
a	か
r	で
t	と
d	た
h	き
n	ん
i	し
o	い
'	ー
z	じゅ
x	け
c	せ
v	ざ
b	ば
k	び
m	みゃ
,	、
.	。

# ☆シフト (e前置)
☆q	しゃ
☆w	ひゃ
☆f	ぴ
☆p	ぽ
☆g	ぎょ
☆j	ぬ
☆l	ぴゃ
☆u	みゅ
☆y	しゅ
☆;	ぃ
☆a	さ
☆r	に
☆s	は
☆t	あ
☆d	な
☆h	ま
☆n	っ
☆e	ら
☆i	りゅ
☆o	え
☆'	・
☆z	じょ
☆x	づ
☆c	り
☆v	しょ
☆b	びゅ
☆k	じゃ
☆m	きょ
☆,	ね
☆.	りゃ
☆/	びょ

# ★シフト (s前置)
★q	ぁ
★w	ひゅ
★f	ほ
★p	ぴょ
★g	ぎゃ
★j	ぎ
★l	ぎゅ
★u	み
★y	ぴゅ
★;	ぇ
★a	す
★r	を
★s	こ
★t	ちゅ
★d	そ
★h	く
★n	お
★e	も
★i	の
★o	つ
★z	ぜ
★x	へ
★c	ちゃ
★v	ちょ
★b	びゃ
★k	じ
★m	きゃ
★,	にゅ
★.	にゃ
★/	ぢ

# ◆シフト (/前置)
◆q	げ
◆w	ひょ
◆f	ぶ
◆p	ぺ
◆g	ご
◆j	ヴ
◆l	にょ
◆u	みょ
◆y	ち
◆a	ど
◆r	が
◆s	だ
◆t	て
◆d	よ
◆h	れ
◆n	う
◆e	る
◆i	ろ
◆'	;
◆z	ぅ
◆x	ぞ
◆c	ぼ
◆v	ず
◆b	べ
◆k	りょ
◆m	きゅ
◆,	ぢゃ
