# 新月配列 v2.0 (Shingetsu) QWERTY ANSI用 hazkey ローマ字テーブル
# ★=d (Layer 2), ☆=k (Layer 1), ◆=/ (Layer 3)

# シフト
d	★
k	☆
/	◆

# No Shift (ベース)
q	ゆ
w	わ
e	ふ
r	ぱ
t	ぐ
y	む
u	め
i	ぷ
o	や
p	ぉ
a	か
s	で
f	と
g	た
h	き
j	ん
l	し
;	い
'	ー
z	じゅ
x	け
c	せ
v	ざ
b	ば
n	び
m	みゃ
,	、
.	。

# ☆シフト (k前置)
☆q	しゃ
☆w	ひゃ
☆e	ぴ
☆r	ぽ
☆t	ぎょ
☆y	ぬ
☆u	ぴゃ
☆i	みゅ
☆o	しゅ
☆p	ぃ
☆a	さ
☆s	に
☆d	は
☆f	あ
☆g	な
☆h	ま
☆j	っ
☆k	ら
☆l	りゅ
☆;	え
☆'	・
☆z	じょ
☆x	づ
☆c	り
☆v	しょ
☆b	びゅ
☆n	じゃ
☆m	きょ
☆,	ね
☆.	りゃ
☆/	びょ

# ★シフト (d前置)
★q	ぁ
★w	ひゅ
★e	ほ
★r	ぴょ
★t	ぎゃ
★y	ぎ
★u	ぎゅ
★i	み
★o	ぴゅ
★p	ぇ
★a	す
★s	を
★d	こ
★f	ちゅ
★g	そ
★h	く
★j	お
★k	も
★l	の
★;	つ
★z	ぜ
★x	へ
★c	ちゃ
★v	ちょ
★b	びゃ
★n	じ
★m	きゃ
★,	にゅ
★.	にゃ
★/	ぢ

# ◆シフト (/前置)
◆q	げ
◆w	ひょ
◆e	ぶ
◆r	ぺ
◆t	ご
◆y	ヴ
◆u	にょ
◆i	みょ
◆o	ち
◆a	ど
◆s	が
◆d	だ
◆f	て
◆g	よ
◆h	れ
◆j	う
◆k	る
◆l	ろ
◆'	;
◆z	ぅ
◆x	ぞ
◆c	ぼ
◆v	ず
◆b	べ
◆n	りょ
◆m	きゅ
◆,	ぢゃ
