# 新月配列 v2.0 (Shingetsu) QWERTY ANSI用 hazkey ローマ字テーブル
# ★=d (Layer 2), ☆=k (Layer 1), ◆=/ (Layer 3)

# シフト
d	★
k	☆
/	◆

# No Shift (ベース)
q	あ
w	と
e	が
r	は
t	を
y	ち
u	こ
i	く
o	て
p	さ
a	か
s	う
f	し
g	た
h	き
j	ん
l	い
;	の
'	ー
z	れ
x	で
c	に
v	な
b	だ
n	ら
m	る
,	、
.	。

# ☆シフト (k前置)
☆q	べ
☆w	ど
☆e	わ
☆r	しゅ
☆t	ぐ
☆y	ぞ
☆u	ぎ
☆i	ぽ
☆o	きゅ
☆p	ぺ
☆a	せ
☆s	じ
☆d	す
☆f	つ
☆g	ぶ
☆h	ふ
☆j	っ
☆k	ほ
☆l	み
☆;	ざ
☆'	・
☆z	じゅ
☆x	ず
☆c	む
☆v	ひ
☆b	ぷ
☆n	び
☆m	え
☆,	にゅ
☆.	ちゅ
☆/	ぬ

# ★シフト (d前置)
★q	りゅ
★w	ぱ
★e	ぃ
★r	げ
★t	ぜ
★y	りょ
★u	ご
★i	や
★o	め
★p	ゆ
★a	ちょ
★s	そ
★d	よ
★f	も
★g	ね
★h	しょ
★j	ま
★k	り
★l	お
★;	け
★z	きゃ
★x	ぎょ
★c	ひょ
★v	ば
★b	ぼ
★n	しゃ
★m	ろ
★,	じょ
★.	きょ
★/	へ

# ◆シフト (/前置)
◆q	ひゅ
◆w	りゃ
◆e	ぎゃ
◆r	みゅ
◆t	にゃ
◆y	ぢゃ
◆u	みょ
◆i	ヴ
◆o	ぴょ
◆a	びょ
◆s	じゃ
◆d	ぇ
◆f	ぴ
◆g	ぢ
◆h	びゅ
◆j	づ
◆k	ぁ
◆l	ちゃ
◆'	;
◆z	びゃ
◆x	ぅ
◆c	ぎゅ
◆v	ぴゅ
◆b	ぴゃ
◆n	みゃ
◆m	ぉ
◆,	ひゃ
◆.	にょ
