# 新月配列 v2.0 (Shingetsu) Colemak ANSI用 hazkey ローマ字テーブル
# ★=s (Layer 2), ☆=e (Layer 1), ◆=/ (Layer 3)

# シフト
s	★
e	☆
/	◆

# No Shift (ベース)
q	た
w	く
f	か
p	る
g	す
j	が
l	に
u	と
y	こ
;	り
a	て
r	い
t	う
d	で
h	は
n	ん
i	し
o	の
'	ー
z	じ
x	っ
c	ま
v	な
b	つ
k	も
m	き
,	、
.	。

# ☆シフト (e前置)
☆q	ぷ
☆w	ち
☆f	よ
☆p	び
☆g	ぎょ
☆j	びゅ
☆l	ぴ
☆u	にゅ
☆y	ちゅ
☆;	きゃ
☆a	せ
☆r	お
☆s	さ
☆t	あ
☆d	ぢゃ
☆h	しょ
☆n	を
☆e	め
☆i	わ
☆o	ゆ
☆'	・
☆z	じょ
☆x	へ
☆c	や
☆v	ひょ
☆b	ぼ
☆k	ぴゃ
☆m	ろ
☆,	ぁ
☆.	ぉ
☆/	りゅ

# ★シフト (s前置)
★q	ぎゃ
★w	ぱ
★f	づ
★p	ふ
★g	ぎ
★j	ぬ
★l	ご
★u	み
★y	そ
★;	きょ
★a	ざ
★r	え
★s	け
★t	ら
★d	しゅ
★h	ひ
★n	だ
★e	れ
★i	ど
★o	ほ
★z	じゃ
★x	ちょ
★c	びょ
★v	ぜ
★b	べ
★k	む
★m	ぐ
★,	ね
★.	ぞ
★/	じゅ

# ◆シフト (/前置)
◆q	にゃ
◆w	ひゃ
◆f	ぽ
◆p	ぴょ
◆g	ぎゅ
◆j	ひゅ
◆l	ぴゅ
◆u	みょ
◆y	ぺ
◆a	しゃ
◆r	ぃ
◆s	げ
◆t	ぇ
◆d	ぢ
◆h	りゃ
◆n	ず
◆e	ぶ
◆i	ば
◆'	;
◆z	みゃ
◆x	ちゃ
◆c	ヴ
◆v	りょ
◆b	びゃ
◆k	にょ
◆m	きゅ
◆,	ぅ
◆.	みゅ
