q		そ
w		こ
e		し
r		て
t		ょ
a		は
s		か
d		★
f		と
g		た
z		す
x		け
c		に
v		な
b		さ
☆q	ゆ
☆w	ひ
☆e	ほ
☆r	ふ
☆t	め
☆a	あ
☆s	を
☆d	ら
☆f	ち
☆g	よ
☆z	ね
☆x	へ
☆c	せ
☆v	ゅ
☆b	ゃ
y	つ
u	ん
i	い
o	の
p	り
[	「
h	く
j	う
k		☆
l	゛
;	き
n	っ
m	る
,	、
.	。
/	・
★y	ぬ
★u	え
★i	み
★o	や
★h	ま
★j	お
★k	も
★;	れ
★n	む
★m	ろ
かl	が
きl	ぎ
くl	ぐ
けl	げ
こl	ご
さl	ざ
しl	じ
すl	ず
せl	ぜ
そl	ぞ
たl	だ
ちl	ぢ
つl	づ
てl	で
とl	ど
はl	ば
ひl	び
ふl	ぶ
へl	べ
ほl	ぼ
うl	ゔ
ばl	ぱ
びl	ぴ
ぶl	ぷ
べl	ぺ
ぼl	ぽ
あl	ぁ
いl	ぃ
えl	ぇ
おl	ぉ
ゔl	ぅ
☆゛q	ぴょ
☆゛w	びょ
☆゛e	じょ
☆゛r	ぎょ
☆゛a	ぴゅ
☆゛s	びゅ
☆゛d	じゅ
☆゛f	ぎゅ
☆゛g	でゅ
☆゛z	ぴゃ
☆゛x	びゃ
☆゛c	じゃ
☆゛v	ぎゃ
☆゛b	ぢゃ
★゛h	みゃ
★゛j	みゅ
★゛k	みょ
☆゛h	みゃ
☆゛j	みゅ
☆゛k	みょ
★゛q	ぴょ
★゛w	びょ
★゛e	じょ
★゛r	ぎょ
★゛a	ぴゅ
★゛s	びゅ
★゛d	じゅ
★゛f	ぎゅ
★゛g	でゅ
★゛z	ぴゃ
★゛x	びゃ
★゛c	じゃ
★゛v	ぎゃ
★゛b	ぢゃ
kk	も
dd	ら
