# 新月配列 (Shingetsu) Colemak ANSI用 hazkey ローマ字テーブル
# ★=s (shift_state=1), ☆=e (shift_state=2)

# シフト
s	★
e	☆

# No Shift (ベース)
q	れ
w	も
f	と
p	が
g	ぐ
j	つ
l	く
u	す
y	で
;	ゆ
a	だ
r	の
t	て
d	た
h	か
n	る
i	を
o	い
z	ず
x	け
c	に
v	ま
b	ば
k	っ
m	き
,	、
.	。
/	ぁ

# ☆シフト (e同時押し)
☆q	ぱ
☆w	こ
☆f	ほ
☆p	ふ
☆g	げ
☆j	ぽ
☆l	ぷ
☆y	づ
☆;	ぇ
☆a	そ
☆r	し
☆s	さ
☆t	は
☆d	へ
☆h	ち
☆n	ん
☆e	え
☆i	じ
☆o	あ
☆z	ぞ
☆x	ょ
☆c	せ
☆v	ゅ
☆b	ゃ
☆k	む
☆m	ぶ
☆,	；
☆.	・
☆/	ぃ

# ★シフト (s同時押し)
★q	ぺ
★w	ひ
★p	わ
★g	め
★j	ぬ
★l	ご
★u	み
★y	や
★;	ぴ
★a	ぢ
★r	ぎ
★s	ら
★t	な
★d	よ
★h	ろ
★n	ど
★e	う
★i	り
★o	お
★z	ざ
★x	ゔ
★v	べ
★b	ぼ
★k	ぜ
★m	び
★,	ね
★.	ー
★/	ぉ
