# 新月配列 (Shingetsu) QWERTY ANSI用 hazkey ローマ字テーブル
# ★=d (shift_state=1), ☆=k (shift_state=2)

# シフト
d	★
k	☆

# No Shift (ベース)
q	れ
w	も
e	と
r	が
t	ぐ
y	つ
u	く
i	す
o	で
p	ゆ
a	だ
s	の
f	て
g	た
h	か
j	る
l	を
;	い
z	ず
x	け
c	に
v	ま
b	ば
n	っ
m	き
,	、
.	。
/	ぁ

# ☆シフト (k同時押し)
☆q	ぱ
☆w	こ
☆e	ほ
☆r	ふ
☆t	げ
☆y	ぽ
☆u	ぷ
☆o	づ
☆p	ぇ
☆a	そ
☆s	し
☆d	さ
☆f	は
☆g	へ
☆h	ち
☆j	ん
☆k	え
☆l	じ
☆;	あ
☆z	ぞ
☆x	ょ
☆c	せ
☆v	ゅ
☆b	ゃ
☆n	む
☆m	ぶ
☆,	；
☆.	・
☆/	ぃ

# ★シフト (d同時押し)
★q	ぺ
★w	ひ
★r	わ
★t	め
★y	ぬ
★u	ご
★i	み
★o	や
★p	ぴ
★a	ぢ
★s	ぎ
★d	ら
★f	な
★g	よ
★h	ろ
★j	ど
★k	う
★l	り
★;	お
★z	ざ
★x	ゔ
★v	べ
★b	ぼ
★n	ぜ
★m	び
★,	ね
★.	ー
★/	ぉ
