,	、
.	。
/	・
;	き
[	「
]	」
a	は
b	さ
c	に
e	し
f	と
g	た
h	く
i	い
j	う
l	゛
m	る
n	っ
o	の
p	り
q	そ
r	て
s	か
t	ょ
u	ん
v	な
w	こ
x	け
y	つ
z	す
;l	ぎ
;t	きょ
al	ば
bl	ざ
ct	にょ
d;	れ
dh	ま
di	み
dj	お
dk	も
dm	ろ
dn	む
do	や
dp	ー
du	え
dy	ぬ
el	じ
et	しょ
fl	ど
gl	だ
hl	ぐ
il	ぃ
jl	ゔ
ka	あ
kb	ゃ
kc	せ
kd	ら
ke	ほ
kf	ち
kg	よ
kl	わ
kq	ゆ
kr	ふ
ks	を
kt	め
kv	ゅ
kw	ひ
kx	へ
kz	ね
ll	゜
pt	りょ
ql	ぞ
rl	で
sl	が
wl	ご
xl	げ
yl	づ
zl	ず
;bk	きゃ
;vk	きゅ
akl	ぁ
all	ぱ
cbk	にゃ
ckl	ぜ
cvk	にゅ
dlh	みゃ
dlj	みゅ
dlk	みょ
ebk	しゃ
ekl	ぼ
evk	しゅ
fkl	ぢ
fkt	ちょ
jdl	ぉ
jll	ぅ
kla	ぴゅ
klb	ぢゃ
klc	じゃ
kld	じゅ
kle	じょ
klf	ぎゅ
klg	でゅ
kll	;
klq	ぴょ
klr	ぎょ
kls	びゅ
klt	でぃ
klv	ぎゃ
klw	びょ
klx	びゃ
klz	ぴゃ
pbk	りゃ
pvk	りゅ
rkl	ぶ
rlt	でょ
udl	ぇ
wkl	び
wkt	ひょ
xkl	べ
ekll	ぽ
fkbk	ちゃ
fklt	ぢょ
fkvk	ちゅ
rkll	ぷ
rlbk	でゃ
wkbk	ひゃ
wkll	ぴ
wkvk	ひゅ
xkll	ぺ
fklvk	ぢゅ
